Land-Ocean: Global Means
""
-0.2
-0.19
-0.19
-0.2
-0.29
-0.25
-0.27
-0.29
-0.03
-0.28
-0.35
-0.23
-0.24
-0.2
-0.26
-0.14
-0.03
-0.14
-0.32
0.0
-0.02
-0.23
-0.32
-0.47
-0.38
-0.18
-0.29
-0.35
-0.45
-0.38
-0.46
-0.3
-0.52
-0.3
-0.13
-0.2
-0.39
-0.34
-0.12
-0.3
-0.26
-0.13
-0.28
-0.16
-0.3
-0.11
-0.11
-0.07
-0.17
-0.18
-0.04
-0.03
-0.16
-0.28
-0.06
-0.18
-0.04
0.08
0.07
-0.02
0.14
0.2
0.02
0.16
0.22
0.15
-0.07
-0.01
-0.11
-0.1
-0.22
0.04
-0.02
0.03
-0.01
-0.14
-0.19
0.06
0.01
-0.07
0.0
0.04
0.02
0.16
-0.27
-0.09
-0.07
-0.01
-0.05
0.1
0.06
-0.06
0.04
0.08
-0.07
-0.1
-0.12
0.07
0.08
0.26
0.21
0.16
0.15
0.28
0.14
0.1
0.09
0.32
0.29
0.28
0.38
0.34
0.03
0.13
0.39
0.41
0.3
0.59
0.42
0.37
0.32
0.58
0.59
0.63
0.61
0.74
0.7
0.59
0.66
0.72
0.72
0.6
0.77
0.77
0.79
0.99
0.9
0.84
0.89
0.97
0.98
0.94
0.86
1.41
1.29
""
